,generalElectionVote,Vote
20674,Labour,Labour
20675,Brexit Party,Brexit Party
20676,Conservative,Conservative
20677,Labour,Labour
20678,Labour,Labour
20679,Conservative,Conservative
20680,Conservative,Conservative
20681,Liberal Democrat,Liberal Democrat
20682,Liberal Democrat,Liberal Democrat
20683,Labour,Labour
20684,Labour,Labour
20685,Conservative,Conservative
20686,Conservative,Conservative
20687,Conservative,Conservative
20688,Labour,Labour
20689,Liberal Democrat,Liberal Democrat
20690,Liberal Democrat,Liberal Democrat
20691,Conservative,Conservative
20692,Conservative,Conservative
20693,Labour,Labour
20694,Conservative,Conservative
20695,Labour,Labour
20696,Conservative,Conservative
20697,Labour,Labour
20698,Liberal Democrat,Liberal Democrat
20699,Labour,Labour
20700,Labour,Labour
20701,Brexit Party,Brexit Party
20702,Brexit Party,Brexit Party
20703,Liberal Democrat,Liberal Democrat
20704,Labour,Labour
20705,Labour,Labour
20706,Conservative,Conservative
20707,Labour,Labour
20708,Brexit Party,Brexit Party
20709,Conservative,Conservative
20710,Labour,Labour
20711,Labour,Labour
20712,Conservative,Conservative
20713,Conservative,Conservative
20714,Labour,Labour
20715,Labour,Labour
20716,Liberal Democrat,Liberal Democrat
20717,Conservative,Conservative
20718,Liberal Democrat,Liberal Democrat
20719,Liberal Democrat,Liberal Democrat
20720,Conservative,Conservative
20721,Brexit Party,Brexit Party
20722,Liberal Democrat,Liberal Democrat
20723,Labour,Labour
20724,Labour,Labour
20725,Conservative,Conservative
20726,Brexit Party,Brexit Party
20727,Liberal Democrat,Liberal Democrat
20728,Conservative,Conservative
20729,Conservative,Conservative
20730,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP)
20731,Conservative,Conservative
20732,Labour,Labour
20733,Conservative,Conservative
20734,Labour,Labour
20735,Conservative,Conservative
20736,Brexit Party,Brexit Party
20737,Liberal Democrat,Liberal Democrat
20738,Conservative,Conservative
20739,Liberal Democrat,Liberal Democrat
20740,Conservative,Conservative
20741,Conservative,Conservative
20742,Labour,Labour
20743,Liberal Democrat,Liberal Democrat
20744,Conservative,Conservative
20745,Conservative,Conservative
20746,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP)
20747,Conservative,Conservative
20748,Liberal Democrat,Liberal Democrat
20749,Conservative,Conservative
20750,Brexit Party,Brexit Party
20751,Liberal Democrat,Liberal Democrat
20752,Liberal Democrat,Liberal Democrat
20753,Conservative,Conservative
20754,Conservative,Conservative
20755,Labour,Labour
20756,Liberal Democrat,Liberal Democrat
20757,Conservative,Conservative
20758,Labour,Labour
20759,Labour,Labour
20760,Conservative,Conservative
20761,Brexit Party,Brexit Party
20762,Conservative,Conservative
20763,Liberal Democrat,Liberal Democrat
20764,Conservative,Conservative
20765,Conservative,Conservative
20766,Labour,Labour
20767,Brexit Party,Brexit Party
20768,Conservative,Conservative
20769,Liberal Democrat,Liberal Democrat
20770,Labour,Labour
20771,Liberal Democrat,Liberal Democrat
20772,Labour,Labour
20773,Labour,Labour
20774,Brexit Party,Brexit Party
20775,Conservative,Conservative
20776,Labour,Labour
20777,Conservative,Conservative
20778,Conservative,Conservative
20779,Conservative,Conservative
20780,Conservative,Conservative
20781,Labour,Labour
20782,Conservative,Conservative
20783,Conservative,Conservative
20784,Conservative,Conservative
20785,Labour,Labour
20786,Conservative,Conservative
20787,Labour,Labour
20788,Brexit Party,Brexit Party
20789,Conservative,Conservative
20790,Labour,Labour
20791,Labour,Labour
20792,Conservative,Conservative
20793,Conservative,Conservative
20794,Liberal Democrat,Liberal Democrat
20795,Green Party,Green Party
20796,Green Party,Green Party
20797,Labour,Labour
20798,Conservative,Conservative
20799,Liberal Democrat,Liberal Democrat
20800,Conservative,Conservative
20801,Labour,Labour
20802,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP)
20803,Green Party,Green Party
20804,Brexit Party,Brexit Party
20805,Brexit Party,Brexit Party
20806,Labour,Labour
20807,Green Party,Green Party
20808,Brexit Party,Brexit Party
20809,Conservative,Conservative
20810,Green Party,Green Party
20811,Conservative,Conservative
20812,Conservative,Conservative
20813,Conservative,Conservative
20814,Labour,Labour
20815,Conservative,Conservative
20816,Conservative,Conservative
20817,Conservative,Conservative
20818,Conservative,Conservative
20819,Labour,Labour
20820,Liberal Democrat,Liberal Democrat
20821,Labour,Labour
20822,Conservative,Conservative
20823,Labour,Labour
20824,Liberal Democrat,Liberal Democrat
20825,Conservative,Conservative
20826,Conservative,Conservative
20827,Labour,Labour
20828,Liberal Democrat,Liberal Democrat
20829,Conservative,Conservative
20830,Labour,Labour
20831,Liberal Democrat,Liberal Democrat
20832,Conservative,Conservative
20833,Liberal Democrat,Liberal Democrat
20834,Labour,Labour
20835,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP)
20836,Conservative,Conservative
20837,Liberal Democrat,Liberal Democrat
20838,Liberal Democrat,Liberal Democrat
20839,Liberal Democrat,Liberal Democrat
20840,Green Party,Green Party
20841,Conservative,Conservative
20842,Liberal Democrat,Liberal Democrat
20843,An independent candidate,An independent candidate
20844,Conservative,Conservative
20845,Conservative,Conservative
20846,Conservative,Conservative
20847,Brexit Party,Brexit Party
20848,Liberal Democrat,Liberal Democrat
20849,Labour,Labour
20850,Brexit Party,Brexit Party
20851,Labour,Labour
20852,Labour,Labour
20853,Labour,Labour
20854,Brexit Party,Brexit Party
20855,Brexit Party,Brexit Party
20856,Labour,Labour
20857,Conservative,Conservative
20858,Conservative,Conservative
20859,Labour,Labour
20860,Labour,Labour
20861,Conservative,Conservative
20862,Conservative,Conservative
20863,Conservative,Conservative
20864,Conservative,Conservative
20865,Brexit Party,Brexit Party
20866,Liberal Democrat,Liberal Democrat
20867,Liberal Democrat,Liberal Democrat
20868,Labour,Labour
20869,Liberal Democrat,Liberal Democrat
20870,Liberal Democrat,Liberal Democrat
20871,Liberal Democrat,Liberal Democrat
20872,Conservative,Conservative
20873,Liberal Democrat,Liberal Democrat
20874,Conservative,Conservative
20875,Conservative,Conservative
20876,Labour,Labour
20877,Labour,Labour
20878,Conservative,Conservative
20879,Green Party,Green Party
20880,Brexit Party,Brexit Party
20881,Labour,Labour
20882,Green Party,Green Party
20883,Liberal Democrat,Liberal Democrat
20884,Conservative,Conservative
20885,Liberal Democrat,Liberal Democrat
20886,Conservative,Conservative
20887,Brexit Party,Brexit Party
20888,Labour,Labour
20889,Labour,Labour
20890,Conservative,Conservative
20891,An independent candidate,An independent candidate
20892,Conservative,Conservative
20893,Brexit Party,Brexit Party
20894,Labour,Labour
20895,Brexit Party,Brexit Party
20896,Conservative,Conservative
20897,Liberal Democrat,Liberal Democrat
20898,Liberal Democrat,Liberal Democrat
20899,Liberal Democrat,Liberal Democrat
20900,Brexit Party,Brexit Party
20901,Liberal Democrat,Liberal Democrat
20902,Brexit Party,Brexit Party
20903,Conservative,Conservative
20904,Conservative,Conservative
20905,Labour,Labour
20906,Brexit Party,Brexit Party
20907,Brexit Party,Brexit Party
20908,Conservative,Conservative
20909,Conservative,Conservative
20910,Liberal Democrat,Liberal Democrat
20911,Conservative,Conservative
20912,Green Party,Green Party
20913,Conservative,Conservative
20914,Labour,Labour
20915,Brexit Party,Brexit Party
20916,Labour,Labour
20917,Brexit Party,Brexit Party
20918,Conservative,Conservative
20919,Labour,Labour
20920,Conservative,Conservative
20921,Conservative,Conservative
20922,Labour,Labour
20923,Conservative,Conservative
20924,Labour,Labour
20925,Green Party,Green Party
20926,Labour,Labour
20927,Liberal Democrat,Liberal Democrat
20928,Conservative,Conservative
20929,Conservative,Conservative
20930,Labour,Labour
20931,Labour,Labour
20932,Conservative,Conservative
20933,Conservative,Conservative
20934,Conservative,Conservative
20935,Conservative,Conservative
20936,Labour,Labour
20937,Conservative,Conservative
20938,Conservative,Conservative
20939,Conservative,Conservative
20940,Conservative,Conservative
20941,Labour,Labour
20942,Liberal Democrat,Liberal Democrat
20943,Conservative,Conservative
20944,Brexit Party,Brexit Party
20945,Conservative,Conservative
20946,Labour,Labour
20947,Conservative,Conservative
20948,Liberal Democrat,Liberal Democrat
20949,Conservative,Conservative
20950,Liberal Democrat,Liberal Democrat
20951,Conservative,Conservative
20952,Liberal Democrat,Liberal Democrat
20953,Brexit Party,Brexit Party
20954,Green Party,Green Party
20955,Conservative,Conservative
20956,Conservative,Conservative
20957,Conservative,Conservative
20958,Labour,Labour
20959,Labour,Labour
20960,Conservative,Conservative
20961,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP)
20962,Labour,Labour
20963,Labour,Labour
20964,Conservative,Conservative
20965,Labour,Labour
20966,Conservative,Conservative
20967,Labour,Labour
20968,Brexit Party,Brexit Party
20969,Conservative,Conservative
20970,Conservative,Conservative
20971,Conservative,Conservative
20972,Labour,Labour
20973,Brexit Party,Brexit Party
20974,Labour,Labour
20975,Labour,Labour
20976,Conservative,Conservative
20977,Conservative,Conservative
20978,Conservative,Conservative
20979,Conservative,Conservative
20980,Conservative,Conservative
20981,Brexit Party,Brexit Party
20982,Labour,Labour
20983,Liberal Democrat,Liberal Democrat
20984,Labour,Labour
20985,Liberal Democrat,Liberal Democrat
20986,Liberal Democrat,Liberal Democrat
20987,Liberal Democrat,Liberal Democrat
20988,Liberal Democrat,Liberal Democrat
20989,Conservative,Conservative
20990,Conservative,Conservative
20991,Liberal Democrat,Liberal Democrat
20992,Conservative,Conservative
20993,Liberal Democrat,Liberal Democrat
20994,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP)
20995,Conservative,Conservative
20996,Conservative,Conservative
20997,Green Party,Green Party
20998,Liberal Democrat,Liberal Democrat
20999,Brexit Party,Brexit Party
21000,Conservative,Conservative
21001,Conservative,Conservative
21002,Conservative,Conservative
21003,Liberal Democrat,Liberal Democrat
21004,Conservative,Conservative
21005,Labour,Labour
21006,Labour,Labour
21007,Conservative,Conservative
21008,Liberal Democrat,Liberal Democrat
21009,Labour,Labour
21010,Labour,Labour
21011,Labour,Labour
21012,Conservative,Conservative
21013,Brexit Party,Brexit Party
21014,Liberal Democrat,Liberal Democrat
21015,Labour,Labour
21016,Conservative,Conservative
21017,Liberal Democrat,Liberal Democrat
21018,Conservative,Conservative
21019,Liberal Democrat,Liberal Democrat
21020,Conservative,Conservative
21021,Labour,Labour
21022,Liberal Democrat,Liberal Democrat
21023,Green Party,Green Party
21024,Labour,Labour
21025,Conservative,Conservative
21026,Brexit Party,Brexit Party
21027,Conservative,Conservative
21028,Brexit Party,Brexit Party
21029,Conservative,Conservative
21030,Labour,Labour
21031,Conservative,Conservative
21032,Labour,Labour
21033,Conservative,Conservative
21034,Labour,Labour
21035,Conservative,Conservative
21036,Labour,Labour
21037,Brexit Party,Brexit Party
21038,Labour,Labour
21039,Brexit Party,Brexit Party
21040,Liberal Democrat,Liberal Democrat
21041,An independent candidate,An independent candidate
21042,Conservative,Conservative
21043,Brexit Party,Brexit Party
21044,Labour,Labour
21045,Conservative,Conservative
21046,Brexit Party,Brexit Party
21047,Liberal Democrat,Liberal Democrat
21048,Conservative,Conservative
21049,Green Party,Green Party
21050,Conservative,Conservative
21051,Conservative,Conservative
21052,Conservative,Conservative
21053,Conservative,Conservative
21054,Conservative,Conservative
21055,Conservative,Conservative
21056,Green Party,Green Party
21057,Brexit Party,Brexit Party
21058,Conservative,Conservative
21059,Liberal Democrat,Liberal Democrat
21060,Brexit Party,Brexit Party
21061,Brexit Party,Brexit Party
21062,Labour,Labour
21063,Liberal Democrat,Liberal Democrat
21064,Labour,Labour
21065,Liberal Democrat,Liberal Democrat
21066,Labour,Labour
21067,Liberal Democrat,Liberal Democrat
21068,Labour,Labour
21069,Brexit Party,Brexit Party
21070,Conservative,Conservative
21071,Conservative,Conservative
21072,Brexit Party,Brexit Party
21073,Brexit Party,Brexit Party
21074,Conservative,Conservative
21075,Brexit Party,Brexit Party
21076,Labour,Labour
21077,Liberal Democrat,Liberal Democrat
21078,Labour,Labour
21079,Liberal Democrat,Liberal Democrat
21080,Labour,Labour
21081,Brexit Party,Brexit Party
21082,Labour,Labour
21083,Labour,Labour
21084,Conservative,Conservative
21085,Conservative,Conservative
21086,Green Party,Green Party
21087,Conservative,Conservative
21088,Liberal Democrat,Liberal Democrat
21089,Liberal Democrat,Liberal Democrat
21090,Conservative,Conservative
21091,An independent candidate,An independent candidate
21092,Labour,Labour
21093,Conservative,Conservative
21094,Conservative,Conservative
21095,Liberal Democrat,Liberal Democrat
21096,Conservative,Conservative
21097,Labour,Labour
21098,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP)
21099,Conservative,Conservative
21100,Brexit Party,Brexit Party
21101,Liberal Democrat,Liberal Democrat
21102,Labour,Labour
21103,Liberal Democrat,Liberal Democrat
21104,Conservative,Conservative
21105,Brexit Party,Brexit Party
21106,Brexit Party,Brexit Party
21107,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP)
21108,Labour,Labour
21109,Conservative,Conservative
21110,Conservative,Conservative
21111,Conservative,Conservative
21112,Liberal Democrat,Liberal Democrat
21113,Conservative,Conservative
21114,Conservative,Conservative
21115,Conservative,Conservative
21116,Liberal Democrat,Liberal Democrat
21117,Conservative,Conservative
21118,Liberal Democrat,Liberal Democrat
21119,Labour,Labour
21120,Liberal Democrat,Liberal Democrat
21121,Labour,Labour
21122,Conservative,Conservative
21123,Brexit Party,Brexit Party
21124,Brexit Party,Brexit Party
21125,Conservative,Conservative
21126,Conservative,Conservative
21127,Brexit Party,Brexit Party
21128,Conservative,Conservative
21129,Liberal Democrat,Liberal Democrat
21130,Labour,Labour
21131,Brexit Party,Brexit Party
21132,Liberal Democrat,Liberal Democrat
21133,Labour,Labour
21134,Conservative,Conservative
21135,Liberal Democrat,Liberal Democrat
21136,Conservative,Conservative
21137,Conservative,Conservative
21138,Conservative,Conservative
21139,Liberal Democrat,Liberal Democrat
21140,Labour,Labour
21141,Labour,Labour
21142,Liberal Democrat,Liberal Democrat
21143,Labour,Labour
21144,Conservative,Conservative
21145,Labour,Labour
21146,Liberal Democrat,Liberal Democrat
21147,Liberal Democrat,Liberal Democrat
21148,Labour,Labour
21149,Liberal Democrat,Liberal Democrat
21150,Conservative,Conservative
21151,Conservative,Conservative
21152,Conservative,Conservative
21153,Conservative,Conservative
21154,Liberal Democrat,Liberal Democrat
21155,Conservative,Conservative
21156,Labour,Labour
21157,Green Party,Green Party
21158,Labour,Labour
21159,Labour,Labour
21160,Labour,Labour
21161,Conservative,Conservative
21162,Conservative,Conservative
21163,Labour,Labour
21164,Brexit Party,Brexit Party
21165,Conservative,Conservative
21166,Conservative,Conservative
21167,Conservative,Conservative
21168,Labour,Labour
21169,Conservative,Conservative
21170,Conservative,Conservative
21171,Liberal Democrat,Liberal Democrat
